IL Number,IL Description,Store Number,Store Description,LOGIS Supplier Class,Supplier Sub-classification,Supplier City,MIIN Code,MIIN Code Description,MIIN Name,MIIN Description,Spend Type,Cost Center Number,Spend Amount,ICN,ICN Description,Unit Of Issue,Unit Of Issue Description,Document Type,Document Date,Document Line Number,Payment Quantity,Payment Unit Price,Adjustment Amount,Cash Discount,Transport Amount,Handling Amount,Invoice Number,Pay Type,Pay Method,Invoice Reason Code,Payment Choice,BAS Payment Number,BAS Transaction Date,BAS Disbursement Number,BAS Disbursement Date,BAS Payment Action Date,BAS Payment Status,Order Number,Order Authorisation Date,Order Status,Order Quoted Price,Quotation Doc Number,Quotation Price,Quotation Expiry Date,Contract Number,Contract End Date,Contract Type,Contract Price,ITEM,ITEM Description,INFRASTRUCTURE,INFRASTRUCTURE Description,OBJECTIVE,OBJECTIVE Description,RESPONSIBILITY,RESPONSIBILITY Description,FUND,FUND Description,PROJECT,PROJECT Description,ASSET,ASSET Description,REGIONAL INDENTIFIER,REGIONAL INDENTIFIER Description,Segment8,Segment8 Description
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CAPE TOWN,111,HIRE,43,HIRE OF CONTAINER,LEASE,002O,1190.16,HHHH00H0000164,HIRE OF CONTAINER ;SANITARY REFUSE CONTAINER,EA,EACH,PAYMENT,2016-04-08,1,1,1190.16,0,0,0,0,INV000078664,PARTIAL,NORMAL,,QUOTED PRICE,1334059,2016/04/08,625207,2016/04/08,2016/04/13,Disbursed,OR-074844,2015/07/15,PAID,1190.16,QA-009858,1190.16,2015/07/25,,Invalid,,0.0,2233368,P/P:CLEANING SERVICES,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CAPE TOWN,93,HIRE AND SERVICE ITEMS,10,HIRE;,LEASE,002O,1279.08,HHHH00H0001230,HIRE; SOAP DISPENSER,EA,EACH,PAYMENT,2016-04-08,2,1,1279.08,0,0,0,0,INV000078664,PARTIAL,NORMAL,,QUOTED PRICE,1334059,2016/04/08,625207,2016/04/08,2016/04/13,Disbursed,OR-074844,2015/07/15,PAID,1279.08,QA-009858,1279.08,2015/07/25,,Invalid,,0.0,2233368,P/P:CLEANING SERVICES,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CAPE TOWN,110,SERVICE,217,SANITARY,SERVICE,002O,3107.07,DDDD00S0000669,SANITARY HOUSEHOLD,EA,EACH,PAYMENT,2016-04-08,3,1,3107.07,0,0,0,0,INV000078664,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334059,2016/04/08,625207,2016/04/08,2016/04/13,Disbursed,OR-074844,2015/07/15,PAID,3287.19,QA-009858,3287.19,2015/07/25,,Invalid,,0.0,2233368,P/P:CLEANING SERVICES,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,STELLENBOSCH,68,CHEMICALS,2110,OXOID GC BASE,INVENTORY,001G,546.31,999970U1837816,"OXOID GC BASE , MC, FARLAND EQUIVALENCE TURBIDITY, STANDARD 1.0",EA,EACH,PAYMENT,2016-04-08,1,1,546.31,0,0,0,0,668210,FINAL,NORMAL,,QUOTED PRICE,1334060,2016/04/08,625205,2016/04/08,2016/04/13,Disbursed,OR-075640,2015/11/06,PAID,546.31,QA-011189,546.31,2015/11/20,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30075368,PROVINCIAL VETERINARY LABORATORY,32273368,STELLENBOSCH 4.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,STELLENBOSCH,69,LABORATORY EQUIPMENT AND ACCESSORIES,293,"DISC,ANTIBIOTIC",INVENTORY,001G,325.4,999970U2299423,"DISC,ANTIBIOTIC , OXIODE ONPG DISCS, 50 CARTRIDGES",PK,PACK OR PACKET,PAYMENT,2016-04-08,14,2,162.7,0,0,0,0,668200,FINAL,NORMAL,,QUOTED PRICE,1334071,2016/04/08,625205,2016/04/08,2016/04/13,Disbursed,OR-075636,2015/11/05,PAID,162.7,QA-011183,162.7,2015/11/20,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30075368,PROVINCIAL VETERINARY LABORATORY,32273368,STELLENBOSCH 4.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,STELLENBOSCH,68,CHEMICALS,620,NITRATE,INVENTORY,001G,1115.87,999970U2305504,"NITRATE , B, BACTIDROP, REMEL, 50 PER BOX",BX,BOX,PAYMENT,2016-04-08,15,1,1115.87,0,0,0,0,668200,FINAL,NORMAL,,QUOTED PRICE,1334071,2016/04/08,625205,2016/04/08,2016/04/13,Disbursed,OR-075636,2015/11/05,PAID,1115.87,QA-011183,1115.87,2015/11/20,,Invalid,,0.0,2277368,CONS: LABORATORIES CONS,95368,NON INFRA/STAND ALONE: CUR,30075368,PROVINCIAL VETERINARY LABORATORY,32273368,STELLENBOSCH 4.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,ROBERTSON,93,HIRE AND SERVICE ITEMS,11,SERVICE;,SERVICE,004F,222.0,DDDD00S0016699,SERVICE; MONITORING SECURITY ALARM SYSTEM,EA,EACH,PAYMENT,2016-04-08,1,1,222.0,0,0,0,0,IN122372,PARTIAL,NORMAL,,QUOTED PRICE,1334044,2016/04/08,625219,2016/04/08,2016/04/13,Disbursed,OR-074397,2015/05/25,PAID,222.0,QA-009123,222.0,2015/06/19,,Invalid,,0.0,2211368,P/P:SAFEGUARD&SECURITY,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32280368,SWELLENDAM 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30015368,SWELLENDAM,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,BELLVILLE,110,SERVICE,18,ELECTRICAL,SERVICE,002O,21445.83,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-08,1,1,21445.83,0,0,0,0,872803711146,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334081,2016/04/08,625204,2016/04/08,2016/04/13,Disbursed,OR-076667,2016/04/08,PAID,22000.0,QA-012818,22000.0,2016/04/22,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,BELLVILLE,110,SERVICE,67,REFILLING GAS,SERVICE,008A,3328.67,DDDD00S0011282,REFILLING GAS ;ARGON GAS,EA,EACH,PAYMENT,2016-04-08,2,1,3328.67,0,0,0,0,2770205,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334086,2016/04/08,625209,2016/04/08,2016/04/13,Disbursed,OR-076187,2016/02/02,PAID,3536.39,QA-012123,3536.39,2016/02/14,,Invalid,,0.0,2269368,CONS SUPP:FUEL SUPPLIES,95368,NON INFRA/STAND ALONE: CUR,30085368,LAB,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,-,GEORGE,93,HIRE AND SERVICE ITEMS,10,HIRE;,LEASE,007F,340.0,HHHH00H0000669,HIRE; MONTHLY RENTALS,EA,EACH,PAYMENT,2016-04-08,1,1,340.0,0,0,0,0,INR02617,FINAL,NORMAL,,QUOTED PRICE,1334053,2016/04/08,625216,2016/04/08,2016/04/13,Disbursed,OR-074330,2015/05/18,PAID,340.0,QA-009011,340.0,2015/05/30,,Invalid,,0.0,2694368,COM:RADIO & TV TRANSMISSIONS,95368,NON INFRA/STAND ALONE: CUR,30070368,ANIMAL HEALTH,32283368,BEAUFORT-WEST 4.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NON-ASSETS RELATED,30008368,BEAUFORT WEST,0,
