IL Number,IL Description,Store Number,Store Description,LOGIS Supplier Class,Supplier Subunknownclassification,Supplier City,MIIN Code,MIIN Code Description,MIIN Name,MIIN Description,Spend Type,Cost Center Number,Spend Amount,ICN,ICN Description,Unit Of Issue,Unit Of Issue Description,Document Type,Document Date,Document Line Number,Payment Quantity,Payment Unit Price,Adjustment Amount,Cash Discount,Transport Amount,Handling Amount,Invoice Number,Pay Type,Pay Method,Invoice Reason Code,Payment Choice,BAS Payment Number,BAS Transaction Date,BAS Disbursement Number,BAS Disbursement Date,BAS Payment Action Date,BAS Payment Status,Order Number,Order Authorisation Date,Order Status,Order Quoted Price,Quotation Doc Number,Quotation Price,Quotation Expiry Date,Contract Number,Contract End Date,Contract Type,Contract Price,ITEM,ITEM Description,INFRASTRUCTURE,INFRASTRUCTURE Description,OBJECTIVE,OBJECTIVE Description,RESPONSIBILITY,RESPONSIBILITY Description,FUND,FUND Description,PROJECT,PROJECT Description,ASSET,ASSET Description,REGIONAL INDENTIFIER,REGIONAL INDENTIFIER Description,Segment8,Segment8 Description
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,21445.83,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-08,1,1,21445.83,0.0,0.0,0,0,872803711146,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334081.0,2016/04/08,625204.0,2016/04/08,2016/04/13,Disbursed,ORunknown076667,2016/04/08,PAID,22000.0,QAunknown012818,22000.0,2016/04/22,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,STELLENBOSCH,00110,SERVICE,16,VETERINARIAN,SERVICE,005A,15673.4,DDDD00S0000529,VETERINARIAN VETERINARY;DOMESTIC ANIMAL,EA,EACH,PAYMENT,2016-04-08,1,13,1205.6462,0.0,0.0,0,0,749075unknown753169,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334046.0,2016/04/08,625206.0,2016/04/08,2016/04/13,Disbursed,ORunknown074337,2015/05/18,PAID,1200.0,QAunknown009029,1200.0,2015/05/30,,Invalid,,0.0,2510368,A&S/O/S:VETERINARY SERVICES,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,OBSEVATORY,00093,HIRE AND SERVICE ITEMS,11,SERVICE;,SERVICE,004K,14367.76,DDDD00S0009962,SERVICE; SOFTWARE LICENCE,EA,EACH,PAYMENT,2016-04-08,2,1,14367.76,0.0,0.0,0,0,1247897,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334057.0,2016/04/08,625211.0,2016/04/08,2016/04/13,Disbursed,ORunknown074421,2015/05/27,PAID,83333.333,,0.0,Unknown,,Invalid,,0.0,4059368,LOGIS MAINFRAME TIME,95368,NON INFRA/STAND ALONE: CUR,30031368,CHIEF FINANCIAL OFFICER,32196368,ELSENBURG 1.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,OBSEVATORY,00093,HIRE AND SERVICE ITEMS,11,SERVICE;,SERVICE,004K,40822.32,DDDD00S0009962,SERVICE; SOFTWARE LICENCE,EA,EACH,PAYMENT,2016-04-08,3,1,40822.32,0.0,0.0,0,0,1247759,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334058.0,2016/04/08,625211.0,2016/04/08,2016/04/13,Disbursed,ORunknown074421,2015/05/27,PAID,41666.666,QAunknown009174,41666.66,2015/06/26,,Invalid,,0.0,4057368,BAS MAINFRAME TIME,95368,NON INFRA/STAND ALONE: CUR,30031368,CHIEF FINANCIAL OFFICER,32196368,ELSENBURG 1.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,GEORGE,00110,SERVICE,73,SECURITY,SERVICE,005I,12770.0,DDDD00S0003436,SECURITY USE ICN DDDD00S0000202,EA,EACH,PAYMENT,2016-04-08,1,1,12770.0,0.0,0.0,0,0,NSS13271,PARTIAL,NORMAL,Unknown,QUOTED PRICE,1334067.0,2016/04/08,625215.0,2016/04/08,2016/04/13,Disbursed,ORunknown073282,2014/12/02,PAID,12770.0,QAunknown007233,12770.0,2014/12/31,,Invalid,,0.0,2211368,P/P:SAFEGUARD&SECURITY,95368,NON INFRA/STAND ALONE: CUR,30091368,FARM SERVICES,32301368,OUTENIQUA 5.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30011368,GEORGE,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,CC,ELSIES RIVER,00110,SERVICE,12,TRANSPORT,SERVICE,002K,18400.0,DDDD00S0002497,TRANSPORT,EA,EACH,PAYMENT,2016-04-08,1,1,18400.0,0.0,0.0,0,0,20718,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334069.0,2016/04/08,625213.0,2016/04/08,2016/04/13,Disbursed,ORunknown074488,2015/06/02,PAID,19160.714,QAunknown009283,19160.71,2015/07/02,,Invalid,,0.0,2540368,CONTRCTRS:TRNSPRT/ RELCTN CONTR,95368,NON INFRA/STAND ALONE: CUR,30035368,TRANSPORT,32196368,ELSENBURG 1.4,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,CAPE TOWN,00110,SERVICE,40,CATERING,SERVICE,002O,17000.0,DDDD00S0000430,CATERING,EA,EACH,PAYMENT,2016-04-08,1,1,17000.0,0.0,0.0,0,0,3505132,PARTIAL,NORMAL,INVOICE PRICE < QUOTED PRICE,INVOICE PRICE,1334073.0,2016/04/08,625228.0,2016/04/08,2016/04/13,Disbursed,ORunknown074119,2015/04/20,AUTHORISED,18756.6667,,0.0,Unknown,NONCONTRACT,2021/05/15,NONunknownCONTRACT,1900.0,2824368,MANAGEMENT/ HANDLING FEES,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PRIVATE COMPANY (PTY)(LTD),CAPE TOWN,00075,STATIONERY,189,"PAPER,COPYING",INVENTORY,002O,29497.5,999970T1921372,"PAPER,COPYING,COPYING A4 80G ROTATRIM",EA,EACH,PAYMENT,2016-04-08,1,150,196.65,0.0,0.0,0,0,ULIN000319,FINAL,NORMAL,Unknown,QUOTED PRICE,1334048.0,2016/04/08,625208.0,2016/04/08,2016/04/13,Disbursed,ORunknown076619,2016/03/10,PAID,196.65,QAunknown012767,196.65,2016/03/27,,Invalid,,0.0,2237368,CONS:SP&OS:PRNTNG PAPR,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,unknown,BELLVILLE,00110,SERVICE,18,ELECTRICAL,SERVICE,002O,15574.45,DDDD00S0015343,ELECTRICAL SERVICE;MUNICIPAL ELECTRICITY,EA,EACH,PAYMENT,2016-04-12,1,1,15574.45,0.0,0.0,0,0,826931021973,PARTIAL,NORMAL,"PRICE INCREASE ""GENERAL""",INVOICE PRICE,1334108.0,2016/04/12,625273.0,2016/04/15,2016/04/20,Disbursed,ORunknown076681,2016/04/12,PAID,13200.0,QAunknown012832,13200.0,2016/04/30,,Invalid,,0.0,3387368,P/P:ELECTRICITY,95368,NON INFRA/STAND ALONE: CUR,30022368,FACILITIES MANAGEMENT & PLANNING,32195368,ELSENBURG 1.3,341368,VOTED FUNDS,4368,NO PROJECTS,30021368,OFFICE BUILDINGS,30005368,STELLENBOSCH,0,
47,WC: AGRICULTURE,7001016350,WC AGRICULTURE: ELSENBURG,NONE,PTY LTD,CAPE TOWN,00086,GROCERIES,126,MAIZE,INVENTORY,005A,119450.0,999970T0907220,MAIZE MAIZE YELLOW,KG,KILOGRAM,PAYMENT,2016-04-12,1,25000,4.778,0.0,0.0,0,0,743,FINAL,NORMAL,Unknown,QUOTED PRICE,1334111.0,2016/04/12,625309.0,2016/04/15,2016/04/20,Disbursed,ORunknown076265,2016/02/10,PAID,4.778,QAunknown012242,4.77,2016/03/01,,Invalid,,0.0,4892368,CONS SUPP:ANML FOOD& MED SUP,95368,NON INFRA/STAND ALONE: CUR,30083368,LIVESTOCK,32293368,ELSENBURG 5.1,341368,VOTED FUNDS,4368,NO PROJECTS,235368,NONunknownASSETS RELATED,30005368,STELLENBOSCH,0,
